2026-04-26 15:58:37:5837 info: server is running on port 5000
2026-04-26 16:42:05:425 http: OPTIONS /api/sprints 204 0 - 0.086 ms
2026-04-26 16:42:06:426 http: GET /api/sprints 304 - - 67.428 ms
2026-04-26 16:42:06:426 http: GET /api/sprints 304 - - 44.943 ms
2026-04-26 16:42:06:426 http: OPTIONS /api/projects?page=1&limit=10&search= 204 0 - 0.295 ms
2026-04-26 16:42:06:426 http: OPTIONS /api/projects?page=1&limit=10&search= 204 0 - 0.100 ms
2026-04-26 16:42:07:427 http: GET /api/projects?page=1&limit=10&search= 200 776 - 223.379 ms
2026-04-26 16:42:07:427 http: GET /api/projects?page=1&limit=10&search= 304 - - 26.684 ms
2026-04-26 16:42:07:427 http: OPTIONS /api/tasks/team 204 0 - 0.134 ms
2026-04-26 16:42:07:427 http: OPTIONS /api/tasks/team 204 0 - 0.088 ms
2026-04-26 16:42:07:427 http: GET /api/tasks/team 304 - - 50.564 ms
2026-04-26 16:42:07:427 http: GET /api/tasks/team 304 - - 32.053 ms
2026-04-26 16:42:40:4240 http: OPTIONS /api/tasks/assigned 204 0 - 0.119 ms
2026-04-26 16:42:40:4240 http: GET /api/tasks/assigned 401 54 - 1.189 ms
2026-04-26 16:42:40:4240 http: OPTIONS /api/auth/refresh 204 0 - 0.074 ms
2026-04-26 16:42:40:4240 http: POST /api/auth/refresh 200 621 - 21.300 ms
2026-04-26 16:42:40:4240 http: GET /api/tasks/assigned 200 2935 - 49.680 ms
2026-04-26 16:42:43:4243 http: OPTIONS /api/tasks/team 204 0 - 0.075 ms
2026-04-26 16:42:43:4243 http: GET /api/tasks/team 304 - - 76.221 ms
2026-04-26 16:42:43:4243 http: OPTIONS /api/tasks/team 204 0 - 0.288 ms
2026-04-26 16:42:43:4243 http: GET /api/tasks/team 304 - - 59.907 ms
2026-04-26 16:43:19:4319 http: OPTIONS /api/auth/refresh 204 0 - 0.110 ms
2026-04-26 16:43:19:4319 http: OPTIONS /api/auth/refresh 204 0 - 0.096 ms
2026-04-26 16:43:19:4319 http: POST /api/auth/refresh 200 999 - 33.037 ms
2026-04-26 16:43:19:4319 http: POST /api/auth/refresh 200 999 - 42.172 ms
2026-04-26 16:43:19:4319 http: OPTIONS /api/tasks/team 204 0 - 0.088 ms
2026-04-26 16:43:19:4319 http: OPTIONS /api/tasks/team 204 0 - 0.108 ms
2026-04-26 16:43:19:4319 http: GET /api/tasks/team 304 - - 51.678 ms
2026-04-26 16:43:19:4319 http: GET /api/tasks/team 304 - - 41.940 ms
2026-04-26 16:43:24:4324 http: OPTIONS /api/auth/refresh 204 0 - 0.093 ms
2026-04-26 16:43:24:4324 http: OPTIONS /api/auth/refresh 204 0 - 0.082 ms
2026-04-26 16:43:24:4324 http: POST /api/auth/refresh 200 981 - 29.646 ms
2026-04-26 16:43:24:4324 http: POST /api/auth/refresh 200 981 - 36.414 ms
2026-04-26 16:43:24:4324 http: OPTIONS /api/tasks/team 204 0 - 0.102 ms
2026-04-26 16:43:24:4324 http: OPTIONS /api/tasks/team 204 0 - 0.096 ms
2026-04-26 16:43:24:4324 http: GET /api/tasks/team 304 - - 37.131 ms
2026-04-26 16:43:24:4324 http: GET /api/tasks/team 304 - - 42.953 ms
2026-04-26 16:43:28:4328 http: OPTIONS /api/auth/refresh 204 0 - 0.109 ms
2026-04-26 16:43:28:4328 http: OPTIONS /api/auth/refresh 204 0 - 0.099 ms
2026-04-26 16:43:29:4329 http: POST /api/auth/refresh 200 621 - 44.383 ms
2026-04-26 16:43:29:4329 http: POST /api/auth/refresh 200 621 - 41.179 ms
2026-04-26 16:43:29:4329 http: OPTIONS /api/tasks/assigned 204 0 - 0.103 ms
